state_name;created_at;grade;id;language;national_avg;question;state_avg;state_id;subject_code;total_student;updated_at
Himachal Pradesh;;5;1371;math;43.34404251;Applies the four fundamental arithmetic operations in solving problems involving money, length, mass, capacity and time intervals;33.10696179;2;M514;0;
Himachal Pradesh;;5;1408;math;45.86787489;Identifies the pattern in triangular numbers and square number;40.92826223;2;M515;0;
Himachal Pradesh;;5;1445;math;46.13490504;Collects data related to various daily life situations. represents it in tabular form and as bar graphs and interprets it;43.60352359;2;M516;0;
Himachal Pradesh;;5;1482;evs;50.14524069;Identifies relationship with and among family members in extended family;43.9975263;2;EVS403;0;
Himachal Pradesh;;5;1519;evs;49.89861061;Records observations/experiences/information for objects, activities, phenomena, places visited in different ways and predicts patterns and activities/ phenomena;48.18267684;2;EVS410;0;
Himachal Pradesh;;5;1556;evs;44.74807312;Explains the super senses and unusual features (sight, smell, hear, sleep, sound, etc.) of animals and their responses to light, sound, food etc.;45.2235825;2;EVS501;0;
Himachal Pradesh;;5;1593;evs;50.13567716;Describes the interdependence among animals, plants and humans;45.34154335;2;EVS503;0;
Himachal Pradesh;;5;1630;evs;47.79471283;Explains the role and functions of different institutions in daily life (Bank, Panchayat, cooperatives. police station, etc.);43.5844528;2;EVS504;0;
Himachal Pradesh;;5;1667;evs;48.43736914;Establishes linkages among terrain, climate, resources (food, water, shelter, livelihood) and cultural life. (e.g. life in distant/difficult areas like hot/cold deserts);46.96445691;2;EVS505;0;
Himachal Pradesh;;5;1704;evs;47.96151678;Groups objects, materials, activities for features/properties such as shape, taste, color , texture, sound, traits etc.;44.63062423;2;EVS506;0;
Himachal Pradesh;;5;1741;evs;47.34214092;Traces the changes in practices, customs, techniques of past and present through coins, paintings, monuments, museum etc. and interacting with elders;43.96965086;2;EVS507;0;
Himachal Pradesh;;5;1778;evs;47.79993589;Guesses (properties, conditions of phenomena), estimates spatial quantities (distance, area, volume, weight etc. ) and time in simple standard units and verifies using simple tools/set ups;39.90476235;2;EVS508;0;
Himachal Pradesh;;5;1815;evs;55.3338799;Records observations/experiences/information in an organized manner (e.g. in tables/ sketches/ bar graphs/ pie charts) and predicts patterns in activities/ phenomena (e.g. floating, sinking, mixing, evaporation , germination, spoilage) to establish relation between cause and effect.;52.73361501;2;EVS509;0;
Himachal Pradesh;;5;1852;evs;45.21567946;Identifies signs, directions, location of different objects/landmarks of a locality / place visited in maps and predicts directions w.r.t. positions at different places for a location;42.91220382;2;EVS510;0;
Himachal Pradesh;;5;1889;evs;53.66416907;Voices opinions on issues observed/experienced and relates practices/happenings to larger issues of society;50.66263206;2;EVS512;0;
